;838
de;131
el;118
y;70
la;66
en;57
metodo;51
del;48
se;47
jugador;46
que;41
las;32
clase;31
por;29
los;28
al;26
clases;25
a;23
con;22
un;22
este;22
metodos;21
para;21
actual;19
una;18
boolean;18
diseno;17
esta;17
hotel;16
implementacion;15
void;15
devuelve;15
como;15
si;14
valor;14
int;14
todos;12
sorpresa;12
practica;11
parametro;11
no;11
nombre;11
numero;11
ya;11
implementar;10
diagrama;10
1;10
debes;10
casilla;10
constructor;10
pag;9
es;9
hoteles;9
practicas;9
curso;9
objetos;9
ese;9
orientado;9
arraylistjugador;9
programacion;9
202122;9
tiene;8
atributo;8
2;7
solo;7
nueva;7
siguiente;7
true;7
tablero;7
saldo;7
cantidad;7
float;7
o;6
creando;6
propietario;6
cada;6
modificasaldo;6
llama;6
pantalla;6
recibe;6
siguientes;5
pasado;5
juego;5
ha;5
crear;5
lo;5
todas;5
modificaciones;5
constructores;5
informa;5
su;5
cliente;5
tostring;5
indica;5
casas;5
civitasjuego;5
diario;5
informacion;5
atributos;5
mismo;4
inicializar;4
3;4
primer;4
anterior;4
pueden;4
nuevas;4
oportunas;4
ip;4
resto;4
atencion;4
reserva;4
informe;4
jugadores;4
anadir;4
sesion;4
declarar;4
prueba;4
habitacion;4
tu;4
nuevos;4
tambien;4
muestra;4
tipo;4
segunda;4
indice;4
estado;4
proporciona;4
mazo;4
operacion;3
correspondiente;3
sera;3
proyecto;3
e;3
gestor;3
n;3
delega;3
creado;3
queda;3
debe;3
donde;3
llamar;3
uml;3
sin;3
anade;3
ejercicio;3
nuevo;3
director;3
instrucciones;3
dos;3
entre;3
codigo;3
reservas;3
relaciones;3
modifica;3
especificada;3
dado;3
compareto;3
sorpresas;3
construircasa;3
indicada;3
objeto;3
ademas;3
asegurate;3
adicionales;3
devuelto;3
paga;3
string;3
implementa;3
realizar;3
caso;3
segun;3
utiliza;3
implementadas;3
aparecen;3
hasta;3
siguiendo;3
salida;3
empleado;3
cuenta;3
adecuado;3
pasaporsalida;3
actividad;2
ultimo;2
declaracion;2
numhoteles;2
mayor;2
4;2
5;2
6;2
7;2
8;2
9;2
paso;2
siempre;2
ello;2
calle;2
maximo;2
pagaalquiler;2
i;2
actualmetodo;2
operacionjuego;2
igual;2
dinero;2
debugno;2
totalmente;2
reglas;2
contabilizarpasosporsalida;2
puedogastar;2
tienes;2
false;2
uno;2
continuacion;2
turno;2
fija;2
init;2
construidas;2
diferentes;2
investiga;2
interfaz;2
premio;2
hacer;2
creados;2
responsabilidades;2
mas;2
capacidad;2
poner;2
esa;2
civitas;2
modo;2
lista;2
empleados;2
detalle;2
creaste;2
opcion;2
alquiler;2
multiplicado;2
cuales;2
pasar;2
asociaciones;2
java;2
comprar;2
10;2
obtener;2
cantidadcasashoteles;2
puedecomprar;2
teniendo;2
estados;2
texto;2
asi;2
partiendo;2
ranking;2
actualiza;2
realiza;2
hay;2
fecha;2
necesarias;2
precio;2
otro;2
dentro;2
cabecera;2
computarpasoporsalida;2
inicio;2
pruebas;2
buscarhabitacioncapacidad;2
funcion;2
recorre;2
casillas;2
entrada;2
propiedades;2
tal;2
habra;2
implementaran;2
construirhotel;2
acerca;2
luego;2
diagramas;2
esesteelpropietario;2
probar;2
debug;2
poder;2
comparar;2
argumento;2
adjunta;1
reflejar;1
edificar;1
especificas;1
implementan;1
especificacion;1
pide;1
protected;1
menos;1
aplicarajugadorpagarcobrar;1
ten;1
casasporhotel;1
existelapropiedadint;1
compruebe;1
personas;1
comprueba;1
estos;1
caido;1
copia;1
mostrar;1
construirhotelint;1
inicializacion;1
quien;1
compare;1
realice;1
particularidades;1
titulo;1
capacidades;1
consultores;1
sea;1
ser;1
c;1
recordad;1
competencias;1
gestion;1
tienealgoquegestionar;1
ella;1
referencia;1
devuelven;1
consultando;1
siguientepasocompletado;1
devolvera;1
objetivos;1
introducir;1
cambio;1
tramitaralquiler;1
llaman;1
recibejugador;1
unas;1
ejecutar;1
significa;1
recibejugadorsorpresa;1
aplicarajugadortipodesorpresa;1
ahora;1
habitaciones;1
analizar;1
neatbeans;1
casillaactual;1
class;1
lenguajes;1
mostrando;1
cabeceras;1
inicial;1
empleadoaddtrabajo;1
concentrate;1
tienen;1
referenciado;1
permitido;1
lado;1
implementara;1
partir;1
ordenar;1
contrario;1
aparece;1
aconseja;1
completo;1
proporcionaran;1
finaldeljuego;1
usaremos;1
entenderas;1
valido;1
orden;1
consecuencia;1
aprendizaje;1
realizado;1
posteriormente;1
cartas;1
realizada;1
inicialmente;1
nuevamente;1
nada;1
disponias;1
cuerpo;1
file;1
hacen;1
contador;1
premia;1
ocurriria;1
especifica;1
crea;1
getprecioalquilercompleto;1
mostrado;1
habido;1
comparable;1
concretas;1
dejarse;1
hoteladdempleado;1
ordena;1
main;1
