;2180
de;906
que;887
y;715
la;455
a;396
en;381
el;367
con;223
por;218
don;198
los;196
no;189
se;169
las;164
sancho;149
su;142
le;138
quixote;135
lo;134
me;125
del;122
dixo;120
como;119
es;109
un;108
si;101
mi;98
mas;95
para;86
una;85
al;84
yo;82
senor;77
v;72
m;71
o;61
tan;60
ha;54
porque;52
esta;50
todo;50
pues;49
muy;47
alvaro;46
sus;46
cual;45
todos;43
pero;43
ni;42
ya;42
esto;40
caballero;39
habia;37
sin;37
bien;35
dos;35
aqui;35
ser;35
asi;34
este;32
nos;29
caballeros;29
he;28
son;28
quien;27
dios;27
alguna;27
casa;26
diziendo;26
os;25
panca;25
sino;25
aunque;24
cura;24
mis;24
les;23
luego;23
buena;23
tras;23
hazer;23
ella;22
tiene;22
buen;22
poco;22
respondio;22
ahora;22
puede;22
ano;22
vida;22
digo;21
fue;21
despues;20
noche;20
entre;20
ventero;20
han;20
sobre;19
quiero;19
cuando;19
te;19
algun;19
otra;19
todas;19
alli;19
tengo;19
cosas;18
era;18
dize;18
menos;18
san;18
parte;18
tal;18
hidalgo;17
libro;17
mano;17
dias;17
gente;17
hizo;17
esa;16
justas;16
lugar;16
aquella;16
mucho;16
mancha;16
aun;16
mundo;16
mejor;15
otros;15
cierto;15
ver;15
visto;15
aquellos;15
caballeria;15
fe;15
venta;15
replico;15
vezes;15
edicion;15
comer;15
solo;15
grande;15
cama;15
vos;14
estas;14
estaba;14
senora;14
tanto;14
vuestro;14
manera;14
hay;14
persona;14
orden;13
uno;13
donde;13
dezir;13
hombre;13
aquel;13
cuatro;13
hecho;13
libros;13
tiempo;13
contra;13
haze;12
parece;12
punto;12
hasta;12
cena;12
merced;12
antes;12
desta;12
ojos;12
primera;12
otro;12
rey;12
aposento;12
escudero;12
harto;12
castillo;11
dar;11
dulcinea;11
mal;11
toda;11
estoy;11
cuerpo;11
eso;11
senores;11
non;11
dezia;11
muchas;11
nombre;11
oh;11
puso;11
cosa;11
comenco;11
fuera;11
caballo;11
huesped;11
sea;11
reales;11
gallega;10
manos;10
dia;10
ellos;10
muger;10
estos;10
ese;10
nuestro;10
nuestra;10
ir;10
tu;10
tarragona;10
amigo;10
causa;10
quijada;10
fuese;10
haziendo;10
alonso;10
jumento;10
tambien;10
dentro;10
demas;10
caballerias;10
tenia;10
della;10
the;9
poner;9
anos;9
haber;9
mil;9
esos;9
vez;9
tomo;9
fin;9
carta;9
agora;9
ve;9
dicho;9
junto;9
licenciado;9
primero;9
argamesilla;9
razones;9
tres;9
mientras;9
caragoca;9
fortaleca;9
dormir;9
toboso;9
cada;9
madre;9
moca;9
caballos;9
verdad;9
ellas;9
maleta;9
princesa;9
solamente;9
fueron;8
dio;8
mando;8
menester;8
vio;8
pasado;8
ello;8
siendo;8
fernandez;8
pequena;8
ducados;8
iglesia;8
coracon;8
infanta;8
vuestra;8
entrar;8
juan;8
adelante;8
nosotros;8
espada;8
delante;8
segundo;8
mucha;8
olla;8
unas;8
amo;8
armas;8
algo;8
muestra;8
suerte;8
rocinante;8
historia;8
falta;8
habemos;8
hazen;8
amor;8
haya;7
semejantes;7
puerta;7
baxo;7
ruegos;7
mayor;7
batalla;7
medio;7
aquellas;7
diez;7
llego;7
conmigo;7
suya;7
pequeno;7
puesto;7
juntamente;7
salir;7
cabeca;7
tanta;7
salida;7
buenas;7
desde;7
tarfe;7
voluntad;7
cuales;7
santo;7
tuertos;7
cuenta;7
duda;7
andantes;7
partes;7
vino;7
espana;7
avellaneda;7
barbero;7
trabajo;7
alguno;7
reina;7
finalmente;7
tener;7
docientos;7
camino;7
padre;6
razon;6
dotor;6
quiso;6
manana;6
otras;6
servicio;6
patria;6
mio;6
quiere;6
ves;6
voy;6
agua;6
francisco;6
cervantes;6
estar;6
estan;6
gran;6
da;6
leido;6
cenar;6
ms;6
noble;6
dado;6
muchos;6
damas;6
mesmo;6
aquello;6
vs;6
seis;6
sera;6
tenemos;6
has;6
obras;6
andante;6
hora;6
nuestros;6
villa;6
cuantos;6
disposicion;6
adarga;6
hemos;6
imaginacion;6
llama;6
juizio;6
soy;6
pobre;6
extremo;6
reino;6
jamas;6
figura;6
palabras;6
sacar;5
morrion;5
respuesta;5
caminantes;5
lorenco;5
principal;5
podia;5
donzellas;5
suplico;5
esas;5
podra;5
ebook;5
bernardo;5
consejo;5
veo;5
grave;5
pasada;5
voz;5
puestos;5
grandes;5
dando;5
llevo;5
compuesto;5
vuelta;5
capitulo;5
hermosa;5
pensaba;5
algunas;5
of;5
quijote;5
hermosura;5
this;5
va;5
alcalde;5
quedando;5
pan;5
par;5
quedo;5
veras;5
pedro;5
aventuras;5
alcaldes;5
ciudad;5
buenos;5
her;5
sucedio;5
nadie;5
contiene;5
hoy;5
nunca;5
fiel;5
santa;5
tienen;5
lagrimas;5
mesa;5
segunda;5
1614;5
castellano;5
entonzes;5
creo;5
puedo;5
poniendo;5
dizen;5
tercera;5
gentil;5
1732;5
debaxo;5
horas;5
manteles;5
debe;5
licencia;5
plata;5
pajes;5
sido;5
soberbio;5
malas;5
hijo;5
saco;5
sabe;5
placa;5
gigantes;5
leer;5
pario;5
4;4
pies;4
e;4
pido;4
hablar;4
cid;4
carnero;4
eran;4
podria;4
meses;4
lee;4
asado;4
mejores;4
dexar;4
importancia;4
jayan;4
paso;4
cuartos;4
tierra;4
partir;4
saber;4
joyas;4
sabio;4
tuerto;4
necio;4
animo;4
mala;4
cuchilladas;4
propio;4
quiera;4
tomar;4
prometo;4
posible;4
vista;4
amores;4
jayanes;4
cuanto;4
honra;4
media;4
donzella;4
espera;4
adonde;4
levanto;4
estado;4
pesar;4
ninguno;4
oido;4
gana;4
dicha;4
andantesca;4
algunos;4
pudo;4
sanctorum;4
quedar;4
ti;4
ingenioso;4
dama;4
puta;4
salio;4
dara;4
venir;4
braco;4
oyo;4
imitacion;4
descomunales;4
conejo;4
posada;4
santos;4
palabra;4
deseo;4
pie;4
tomando;4
vamos;4
hazanas;4
vidas;4
ganar;4
provecho;4
llamar;4
sola;4
tienes;4
nuevo;4
triste;4
hiziera;4
juro;4
gloria;4
experiencia;4
asno;4
reyes;4
trata;4
morir;4
valor;4
hermano;4
consigo;4
antiguo;4
hizieron;4
diese;4
fama;4
nombrar;4
verdadero;4
seria;4
quitado;4
noches;4
magestad;4
pueda;4
tantos;4
real;4
venido;4
ama;4
princesas;4
pasar;4
cuarto;4
llamo;4
pienso;4
armado;4
enfermedad;4
espia;4
gracias;4
valerosos;4
llegaron;4
teneis;4
molino;4
digame;4
rosario;4
vuestras;4
apocrifo;4
vieja;4
hazia;4
desa;4
cuidado;4
vienen;4
grandisima;4
natural;4
agravios;4
maravillado;4
oyendo;4
granada;4
idos;3
2;3
maravillados;3
suele;3
entendimiento;3
sano;3
hidalgos;3
capatos;3
hare;3
flos;3
famosa;3
sangre;3
chapiteles;3
plumas;3
caballeriza;3
aviso;3
llamaba;3
sayo;3
puentes;3
rucio;3
tampoco;3
dispuesto;3
fieros;3
hallo;3
principio;3
vencido;3
estaban;3
legua;3
dolor;3
cierta;3
zurrada;3
comedias;3
deseos;3
luz;3
papeles;3
fazanas;3
merece;3
locura;3
mira;3
seguro;3
sabes;3
quinta;3
punta;3
maga;3
raphael;3
sabia;3
truxese;3
servir;3
volvio;3
verdaderos;3
volver;3
project;3
saltar;3
baxe;3
discreto;3
gusto;3
hombres;3
habra;3
mandado;3
obligacion;3
diablo;3
vozes;3
pequenas;3
remedio;3
dixese;3
rica;3
insigne;3
gigante;3
bravo;3
vosotros;3
premio;3
est;3
etc;3
escribir;3
andar;3
tordesillas;3
errata;3
estara;3
nin;3
amigos;3
reinos;3
silla;3
platica;3
dezis;3
hablando;3
vuelve;3
habeis;3
ninguna;3
dixole;3
orthoneda;3
cupido;3
diga;3
at;3
ay;3
murio;3
peras;3
by;3
preguntandole;3
inhumana;3
cu;3
feliz;3
llegando;3
suyo;3
regidores;3
imito;3
hi;3
palafren;3
it;3
ensena;3
volando;3
negocios;3
entro;3
conversacion;3
singular;3
dale;3
quisiera;3
dellos;3
justo;3
aldonza;3
semejante;3
barbas;3
conde;3
ilustracion;3
queda;3
lancon;3
andaba;3
ciertos;3
cartas;3
castillos;3
quede;3
bueno;3
canonigo;3
liori;3
peor;3
sobrina;3
parecia;3
trae;3
hayan;3
tira;3
obra;3
paciencia;3
campo;3
hurto;3
torme;3
asar;3
general;3
acabar;3
hiziese;3
you;3
llaman;3
trabajos;3
cristiana;3
hallar;3
fantasia;3
costillas;3
salieron;3
fuercas;3
nacion;3
blanca;3
conocido;3
fosos;3
guia;3
ambos;3
ingrata;3
comio;3
verdadera;3
piecas;3
accidente;3
agosto;3
fermosura;3
dineros;3
primer;3
arriba;3
exercito;3
iremos;3
colera;3
cabo;3
amadis;3
demasiado;3
boca;3
vayas;3
moco;3
pregunto;3
escritorio;3
and;3
queria;3
abriendo;3
cumplir;3
unos;3
contigo;3
encima;3
destas;3
fueran;3
antiguos;3
alla;3
pendencia;3
tantas;3
casi;3
cara;3
tratar;3
postre;3
fuerca;3
sabanones;3
original;3
pasadas;3
mismo;3
pasados;3
echar;3
siglo;3
vivo;3
prosiguio;3
cuyas;3
echado;3
larga;3
autor;3
muerto;3
vale;3
sol;3
piedra;3
hija;3
habian;3
subid;3
pagana;3
subio;3
enemiga;3
servicios;3
levantando;3
conocer;3
vaya;3
derredor;3
quimeras;3
inaudita;3
huespedes;3
echase;3
