;10
de;8
del;4
transferencia;4
beneficiario;4
la;4
haberes;3
remitente;3
ordenante;3
pagaduria;2
informacion;2
nomina;2
trf;2
importe;2
fecha;2
1982;2
ampliacion;2
acedo;2
nombre;2
gregorio;2
312123;2
domicilio;2
rico;2
27052021;2
2100;2
referencia;2
jun;1
ccc;1
02;1
ps;1
datos;1
organo;1
01822370pagaduria;1
codigo;1
14;1
01822370;1
00187505;1
8302;1
madri;1
detalle;1
0018;1
2;1
movimiento;1
iban;1
concepto;1
202105260182011820178;1
es79;1
caracteristicas;1
castellana;1
numero;1
proposito;1
99999;1
origen;1
otras;1
32858020j;1
general;1
oficina;1
central;1
cuenta;1
09792;1
0109;1
mas;1
euros;1
010829;1
or;1
d;1
valor;1
2021;1
identificacion;1
s2830144h;1
28046;1
sepa;1
sala;1
7505;1
83;1
