;31
descripcion;2
de;2
colegial;2
numero;2
miguel;2
operacion;2
producto;2
redsys;2
alta;2
comercio;2
acedocanavate;2
1900;2
con;1
procesamiento;1
412643;1
6222021;1
pro210001200;1
enfermeria;1
los;1
datos;1
781990981;1
pedido;1
httpswwwcolegioenfermeriamalagacom;1
sl;1
continuar;1
tarjeta;1
11;1
codigo;1
c;1
22062021;1
1110;1
2021;1
malaga;1
terminal;1
derechos;1
co;1
importe;1
url;1
servicios;1
espana;1
fecha;1
3029;1
reservados;1
la;1
autorizada;1
todos;1
httpssisredsysessispagofinanetjsessionid00002z6exlfeko8fmoam8mwsig1cgbku6kl;1
