;2818
de;222
la;133
en;116
el;90
que;85
diapositiva;78
1;73
del;70
0;62
un;61
se;59
d;57
documento;57
los;57
a;54
q;54
es;54
t;51
modelo;44
no;44
para;40
the;39
y;39
una;37
consulta;36
modelos;35
termino;34
terminos;30
frecuencia;29
como;29
documentos;28
tf;28
con;26
por;26
2;25
p;25
coleccion;25
longitud;24
probabilidad;22
3;21
mas;21
las;20
vectorial;18
m;17
d1;17
ranking;17
w;16
cada;16
pesos;16
d2;16
relevancia;16
web;15
desert;15
is;15
doc;15
4;14
docs;14
10;14
forma;13
puede;13
log;13
lenguaje;13
consultas;13
ser;13
probabilisticos;13
lm;13
ri;13
si;13
espacio;12
d3;12
people;12
booleano;12
mayor;11
numero;11
pero;11
al;11
son;11
palabras;11
avdl;11
esta;11
score;10
okapi;10
informacion;10
ejemplo;10
o;9
orden;9
hay;9
peso;9
graph;9
little;9
k1;9
of;9
18;9
idf;9
recuperacion;9
segun;9
5;8
8;8
b;8
ordenar;8
esquema;8
ab;8
d4;8
tiene;8
in;8
k2;8
dos;8
02;8
texto;8
probabilidades;8
wt;8
tdq;7
6;7
valores;7
cero;7
001;7
are;7
coseno;7
general;7
00107239;7
sobre;7
tienen;7
k3;7
jaccard;7
problema;7
probabilistico;7
16;7
norma;7
59;7
considerar;7
calculo;7
tener;7
relevante;7
said;7
x;6
00080429;6
pivote;6
lonely;6
simple;6
modelado;6
term;6
prince;6
model;6
it;6
l2;6
lo;6
su;6
valor;6
introduccion;6
00001;6
funcion;6
muy;6
cuenta;6
clasicos;5
permite;5
9;5
conjunto;5
basado;5
vectores;5
etc;5
unigram;5
contenido;5
dirichlet;5
usuario;5
basados;5
utilizar;5
utilizan;5
bm25;5
politico;5
df;5
pueden;5
ir;5
similitud;5
entre;5
total;5
q1;5
documental;5
01;5
15;5
30;5
this;5
vs;5
otro;5
tanto;5
considera;5
independientemente;4
largos;4
estos;4
7;4
criterios;4
k;4
suele;4
information;4
donde;4
multiplicar;4
woman;4
television;4
cos;4
net;4
media;4
podria;4
and;4
considerando;4
models;4
002;4
representan;4
00134048;4
nos;4
medida;4
importancia;4
cierre;4
usualmente;4
comparan;4
0255;4
sea;4
d5;4
d6;4
hoy;4
d7;4
tfidf;4
language;4
dw;4
aparece;4
algunas;4
penaliza;4
m1;4
ld;4
mixtos;4
dada;4
on;4
dado;4
sistemas;4
quijote;4
ps;4
independiente;4
12;4
13;4
20;4
28;4
decision;4
ta;4
40;4
comun;4
00187668;4
asume;4
formula;4
entonces;4
independencia;4
aparecen;4
utilizando;4
constante;4
normalizar;4
cataluna;3
posible;3
mezcla;3
youre;3
c;3
s;3
its;3
logaritmos;3
tenemos;3
there;3
well;3
00162858;3
influencia;3
too;3
suavizado;3
precision;3
representa;3
medir;3
veces;3
grado;3
grandes;3
recuperar;3
beautiful;3
smoothing;3
suelen;3
importante;3
otras;3
pleaseth;3
where;3
principle;3
pqd;3
comunes;3
last;3
page;3
what;3
tipo;3
distintas;3
when;3
numeros;3
binario;3
probability;3
prob;3
transforma;3
propiedades;3
sesgo;3
dar;3
depende;3
sentencia;3
comparar;3
mismo;3
bag;3
retrieval;3
presidente;3
at;3
busqueda;3
words;3
dia;3
dt;3
debe;3
algunos;3
resumed;3
robertson;3
caesar;3
lenguajes;3
solo;3
uno;3
ha;3
generacion;3
large;3
tamano;3
don;3
distintos;3
uso;3
that;3
revenue;3
evitar;3
earth;3
pq;3
somewhere;3
110;3
qm;3
11;3
14;3
22;3
25;3
exceso;3
34;3
36;3
37;3
makes;3
toman;3
td;3
problemas;3
conjuntos;3
tq;3
calcula;3
hides;3
60;3
idea;3
realizar;3
ya;3
among;3
ides;3
asignar;3
estimar;3
coste;3
este;3
snake;3
normalizacion;3
poder;3
notar;2
idioma;2
mejora;2
intuitivamente;2
visto;2
distinto;2
util;2
comunidad;2
i;2
j;2
n;2
todo;2
r;2
v;2
definicion;2
gol;2
primeros;2
emparejar;2
esencial;2
respuesta;2
hacia;2
problematica;2
basada;2
mixture;2
incertidumbre;2
lado;2
contienen;2
coche;2
gained;2
hemos;2
2162;2
hacer;2
singhal;2
palabra;2
usuarios;2
optimiza;2
5473;2
pertenece;2
todas;2
210;2
hipotesis;2
combinar;2
omitir;2
autores;2
estan;2
anadir;2
pmd;2
unos;2
datos;2
espanol;2
mecanismos;2
003;2
tatbtc;2
obtener;2
tampoco;2
document;2
arte;2
objetivo;2
formalismo;2
vistos;2
gran;2
pequenos;2
penalizar;2
definir;2
pqm;2
tematica;2
aun;2
booleanos;2
upyd;2
ptd;2
ptm;2
pais;2
2810;2
tras;2
7280;2
pcoste;2
bien;2
julius;2
explicita;2
criterio;2
semantica;2
priori;2
insuficientes;2
1996;2
1510;2
obra;2
ante;2
tratan;2
estado;2
otros;2
solucion;2
generar;2
facil;2
original;2
1330;2
espana;2
mercer;2
siguientes;2
permiten;2
yon;2
misma;2
alfabeto;2
personas;2
tienden;2
suavizar;2
1bb;2
dft;2
cual;2
buscamos;2
distribuciones;2
cf;2
march;2
cs;2
salidas;2
siendo;2
carlos;2
dk;2
dl;2
parte;2
dk1;2
dq;2
down;2
encontrar;2
rtvv;2
final;2
necesitamos;2
for;2
aleatorio;2
1162;2
sin;2
class;2
mundo;2
conceptos;2
antony;2
incluye;2
frecuencias;2
sayst;2
crece;2
maiden;2
decir;2
conjuntiva;2
libre;2
man;2
dpm;2
iesimo;2
completa;2
le;2
aparezca;2
calcular;2
necesidad;2
likes;2
reyes;2
ideal;2
hipotetica;2
ni;2
asumamos;2
emparejamiento;2
deberia;2
q2;2
ambas;2
escuadra;2
sri;2
cosdq;2
pd;2
distribucion;2
obtiene;2
pm;2
03;2
based;2
qt;2
17;2
19;2
servicios;2
estadisticas;2
concepto;2
t1;2
t2;2
21;2
t3;2
dwt;2
t4;2
29;2
sus;2
vector;2
frec;2
31;2
33;2
tb;2
tc;2
but;2
0004x000006x;2
0961;2
50;2
query;2
mle;2
fabra;2
asumimos;2
basico;2
intuicion;2
finalmente;2
grande;2
informatica;2
jelinekmercer;2
sistema;2
cleopatra;2
1610;2
yo;2
90;2
0526;2
vasco;2
linguistico;2
