;182
de;135
la;72
en;59
que;46
a;45
el;40
y;34
las;27
ha;25
pandemia;20
han;20
durante;19
the;18
los;18
un;18
web;16
por;15
of;15
este;15
se;14
para;13
mas;13
empresas;12
and;11
al;11
una;11
online;11
como;11
esta;11
con;10
sido;10
del;9
no;9
estos;8
in;8
su;8
usuarios;7
grandes;7
tecnologias;7
comercio;7
entretenimiento;7
teletrabajo;7
will;7
o;6
estas;6
aumento;6
entorno;6
muchas;6
es;6
for;6
2020;6
lo;6
trabajo;6
muchos;6
ya;6
tiempo;6
visto;5
datos;5
aun;5
hecho;5
inversion;5
covid19;5
nuestro;5
parte;5
uso;5
poco;5
this;5
google;4
aplicaciones;4
cambio;4
ventas;4
desde;4
compras;4
importante;4
vida;4
comercios;4
pero;4
pese;4
modelos;4
espana;4
electronico;4
nube;4
that;4
entre;4
comunicacion;4
incremento;4
to;4
tambien;4
plataformas;4
sociedad;4
millones;4
1;3
3;3
e;3
paises;3
cuanto;3
era;3
have;3
traffic;3
meses;3
haya;3
modelo;3
nivel;3
numero;3
campos;3
gran;3
had;3
has;3
imposibilidad;3
tipo;3
numeros;3
reproduccion;3
tecnologia;3
marzo;3
educacion;3
impact;3
be;3
by;3
llego;3
solo;3
is;3
it;3
herramientas;3
webex;3
navegador;3
tendencia;3
considerable;3
15;3
servicios;3
si;3
us;3
relacionadas;3
tenido;3
tanto;3
hasta;3
ciscos;3
esto;3
aumentado;3
mayor;2
community;2
left;2
pandemic;2
ciento;2
esencial;2
cis;2
society;2
with;2
confinamiento;2
education;2
productividad;2
diferentes;2
million;2
poblacion;2
new;2
posibilidad;2
adaptacion;2
repercusion;2
semanas;2
seguir;2
meeting;2
manera;2
httpswwwiebschoolcomblogaumentoecommerceecommerce;2
directo;2
ellas;2
pequenos;2
lleva;2
httpselpaiscomeconomia20201010elcomercioonlineseconvierteenlatabladesalvacionparalasempresasdedistribucionhtml;2
costes;2
mercado;2
companias;2
hay;2
ecomerce;2
preve;2
medida;2
pais;2
anos;2
casa;2
caso;2
httpswwwcajasietecontunegociocomtemasmarketingyventasitemelcomercioelectronicoentiemposdecoronavirusquehacambiadoycomoafrontarelfuturo;2
importancia;2
visualizacion;2
cuando;2
more;2
errores;2
ahorro;2
comienzo;2
estado;2
cloud;2
httpswwwuniglobalunionorgsitesdefaultfilesattachmentspdfamazoncovidespdf;2
minutes;2
particular;2
torno;2
billion;2
mundial;2
laboral;2
an;2
anterioridad;2
dejado;2
meet;2
series;2
dia;2
consumo;2
venta;2
mundo;2
nueva;2
movilidad;2
presencial;2
field;2
incluso;2
algunas;2
espanoles;2
distintos;2
varios;2
completa;2
son;2
than;2
necesidad;2
amazon;2
nuestros;2
total;2
mes;2
on;2
social;2
impulso;2
todos;2
ventajas;2
ido;2
trabajadores;2
nuevos;2
we;2
otro;2
dentro;2
sistema;2
april;2
tener;2
segun;2
provocado;2
peliculas;2
our;2
vez;2
nuestras;2
empresa;2
poder;2
menores;1
posibles;1
notas;1
remote;1
mejora;1
posible;1
these;1
comercial;1
menos;1
menor;1
remoto;1
vio;1
espacio;1
ultimo;1
click;1
2;1
4;1
5;1
6;1
accessible;1
hosting;1
example;1
same;1
fiabilidad;1
pasado;1
address;1
union;1
inimaginable;1
todo;1
llevan;1
interrumpida;1
preferido;1
formando;1
prominence;1
claves;1
escalabilidad;1
mostrados;1
ensayo;1
post;1
servido;1
cobrando;1
need;1
aspectos;1
its;1
especial;1
inditex;1
users;1
volume;1
600;1
cuota;1
hacia;1
valoracion;1
empujon;1
tuvo;1
asentado;1
ahora;1
hara;1
apostar;1
duda;1
inicial;1
destacar;1
special;1
canavate;1
outbreak;1
hemos;1
alerta;1
period;1
realizado;1
historico;1
impacto;1
costos;1
implantado;1
httpswwwelcorreocomeconomiatrabajopandemiadisparateletrabajo20210317114849ntrchtml;1
analyze;1
meetings;1
epoca;1
nada;1
caracteristica;1
busquedas;1
hacer;1
lleguen;1
conectividad;1
apartado;1
paralela;1
confinamientos;1
cotidianas;1
television;1
visitas;1
hacian;1
funcionalmente;1
cada;1
10000;1
basadas;1
platforms;1
etc;1
modo;1
reduccion;1
real;1
venido;1
todas;1
paginas;1
derivados;1
fastestgrowing;1
adaptar;1
necesitaban;1
forma;1
times;1
primera;1
constatado;1
innegable;1
pasando;1
httpswwwreuterscomarticleusciscosystemswebexiduskbn278018;1
says;1
hayq;1
puede;1
ano;1
specific;1
any;1
productivo;1
previos;1
application;1
digitalizacion;1
cuales;1
europea;1
led;1
elevo;1
invertir;1
sectores;1
amigos;1
bursatil;1
models;1
remain;1
mecanismos;1
capaz;1
despegado;1
quizas;1
colaboracion;1
compra;1
atacado;1
entertainment;1
miguel;1
absentismo;1
mecanismo;1
otras;1
destaca;1
proveen;1
increases;1
infraestructuras;1
seguido;1
productos;1
cuarta;1
conclusiones;1
semana;1
decidan;1
vitales;1
workloads;1
teniendo;1
apostando;1
services;1
provienen;1
cambiado;1
noticias;1
prestan;1
cabeza;1
microsoft;1
given;1
significant;1
technologies;1
determinado;1
mediante;1
hbo;1
picos;1
entidades;1
porcentaje;1
fields;1
indiferente;1
totales;1
aspecto;1
versatilidad;1
video;1
anything;1
necesarias;1
not;1
nos;1
optado;1
normalidad;1
nexo;1
escala;1
euros;1
