;2464
de;775
et;497
a;441
le;368
les;342
la;342
nous;283
des;222
en;215
un;167
que;166
il;159
du;152
dans;145
pour;130
une;121
par;109
ou;107
se;105
qui;105
je;101
au;89
mon;85
plus;81
ne;80
son;73
sur;72
lui;71
ce;69
notre;69
me;67
leur;65
est;60
mais;59
avec;54
comme;53
quil;52
dun;52
deux;50
nos;49
dune;48
leurs;47
ces;45
on;44
sa;44
ses;44
frere;44
pays;43
faire;43
etait;43
ils;42
aux;42
cette;39
pas;37
sont;36
quelques;36
avait;35
prince;34
si;34
tout;31
peu;28
sans;26
bien;26
dont;26
apres;26
meme;26
dedjadj;25
moi;24
moussawa;23
fut;23
chez;23
moins;22
vous;22
gondar;21
pere;21
y;20
depuis;20
soldats;20
dit;19
jours;19
hommes;19
fait;19
mes;18
tous;18
pied;17
voyage;17
ma;17
temps;17
route;17
jusqua;17
quelque;17
adwa;17
village;17
quils;16
tigraie;16
maison;16
fit;16
missionnaires;16
oubie;16
pendant;16
cet;15
ete;15
etre;15
presque;15
paysans;15
ont;15
lile;15
aussi;15
bagages;15
drogman;15
grande;15
gens;15
trois;14
quon;14
marche;14
elle;14
halaie;14
porteurs;14
ville;14
celui;13
sapeto;13
homme;13
sous;13
contre;13
mois;13
habitants;13
mer;12
alors;12
terre;12
pieds;12
encore;12
entre;12
surtout;12
milieu;12
europeens;12
toujours;12
point;12
chef;12
jour;12
parmi;12
langue;11
main;11
ayant;11
eux;11
ceux;11
nom;11
vers;11
gouverneur;11
souvent;11
malgre;11
femmes;11
trafiquants;11
ordinairement;11
avions;11
car;11
teint;10
premier;10
nuit;10
gabraie;10
dadwa;10
metres;10
ainsi;10
chaque;10
lieu;10
kassa;10
mule;10
voir;10
ethiopie;10
denviron;10
ethiopiens;10
trouve;10
enfin;10
aupres;10
reste;10
ans;10
sejour;10
lendemain;10
bon;10
plusieurs;10
etaient;10
porte;10
place;10
indigenes;9
huttes;9
afin;9
celle;9
larabe;9
donner;9
fois;9
donne;9
douze;9
ni;9
puis;9
tu;9
peine;9
cote;9
seul;9
devant;9
lorsque;9
etions;9
soit;9
qua;9
dernier;9
durant;9
avoir;9
bey;9
dautres;9
avant;8
setait;8
bientot;8
faisait;8
jusquau;8
compagnon;8
nombre;8
nouveau;8
caravane;8
lethiopie;8
francais;8
present;8
soldat;8
depart;8
heures;8
quelquefois;8
pouvait;8
environ;8
m;7
lautre;7
quen;7
pres;7
voyageur;7
donc;7
lun;7
parler;7
mis;7
aller;7
toute;7
derniere;7
etrangers;7
pierre;7
vie;7
forme;7
nest;7
cest;7
votre;7
droit;7
rendre;7
peutetre;7
atskou;7
retour;7
europeen;7
suite;7
cetait;7
cause;7
hauteethiopie;7
droits;7
quatre;7
visite;7
allemands;7
soir;7
fils;7
repas;7
camp;7
detre;7
selon;7
autre;7
personne;7
passage;7
the;6
mieux;6
prendre;6
lik;6
arrivames;6
pain;6
comprendre;6
lon;6
langlais;6
provinces;6
dos;6
tentes;6
convenu;6
seulement;6
elles;6
loin;6
laisser;6
saison;6
derniers;6
samson;6
talari;6
couche;6
eut;6
autres;6
soleil;6
tour;6
yeux;6
instruments;6
celles;6
doubie;6
formes;6
charge;6
font;6
sujets;6
presents;6
compagnons;6
situe;6
sy;6
nourriture;6
quant;6
nord;6
maugrebins;6
jeune;6
autour;6
nomme;6
pluies;6
juin;6
procurer;6
domingo;6
tant;6
trop;6
hote;6
rouge;6
arabe;6
navait;6
longue;6
jai;6
plateau;6
seule;6
fimes;6
petite;6
aucun;6
lazariste;6
france;6
deja;6
messieurs;6
sol;6
lamarigna;6
tandis;6
mission;6
but;6
fusils;6
maitre;6
pouvoir;5
avaient;5
demanda;5
part;5
den;5
agreable;5
allemand;5
partie;5
grand;5
ebook;5
princes;5
plutot;5
riches;5
davoir;5
moitie;5
musulman;5
cela;5
nen;5
ceinture;5
rendis;5
grec;5
ensuite;5
grecs;5
suis;5
nus;5
fis;5
ditil;5
venu;5
doute;5
foi;5
dire;5
lhuissier;5
plein;5
hangar;5
assez;5
haute;5
arriver;5
arrivee;5
dabord;5
dailleurs;5
plupart;5
premiere;5
facon;5
terres;5
population;5
payer;5
desormais;5
travail;5
grands;5
recevoir;5
maieouraie;5
plaine;5
vetements;5
trouvait;5
peuples;5
retourner;5
sen;5
six;5
large;5
parents;5
heure;5
vetement;5
passait;5
quitter;4
chretiens;4
toi;4
haut;4
mettre;4
derriere;4
heureuse;4
moment;4
offrir;4
missionnaire;4
dethiopie;4
trouvames;4
sabre;4
dix;4
journee;4
toutes;4
partit;4
mal;4
longueur;4
enclos;4
taille;4
monde;4
journees;4
catholique;4
toge;4
coton;4
lassemblee;4
lafrique;4
rien;4
compose;4
notables;4
rendit;4
non;4
chretien;4
effet;4
serait;4
donna;4
aujourdhui;4
montagnes;4
